"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"1","1M1","Luisteren naar verhalen","E","Luisteren naar voorgelezen verhalen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Luisteren - Literair luisteren. Leerdoel (1M1): Luisteren naar voorgelezen verhalen en hoofdzaken begrijpen. Niveau: E (eind groep 1). Gebruik korte verhalen (max 5 minuten) met duidelijke grote prentenboekplaten. Speelse context: dieren, familie, speeltuin, kleuterdag. Vraagtypen: Wie zie je op het plaatje?, Wat gebeurde er in het verhaal?, Waar speelt het verhaal?, Wat voelde de hoofdpersoon?, Wat gebeurde eerst/daarna? (chronologie). Format: Visueel ondersteunde luisteroefeningen met 2-3 grote kleurrijke antwoordopties (plaatjes), voorgelezen door leerkracht, kinderen wijzen antwoord aan. Materiaal: prentenboeken met herkenbare situaties. Ondersteuning: Met begeleiding van leerkracht, herhaling mogelijk. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"1","1M2","Spreken in korte zinnen","E","Spreken in korte zinnen, communiceren met anderen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Spreken - Basiswoordenschat en zinsbouw. Leerdoel (1M2): Spreken in korte zinnen (3-5 woorden), duidelijk communiceren met anderen. Niveau: E (eind groep 1). Gebruik grote kleurrijke plaatjes en concrete voorwerpen uit de klas. Speelse context: speelgoed, huisdieren, eten, klas, thuis. Focus op: duidelijke articulatie, basiswoordenschat (zelfstandige naamwoorden, werkwoorden), eenvoudige zinsbouw (onderwerp + werkwoord + voorwerp). Vraagtypen: Beschrijf wat je ziet (De hond rent), Vertel over het plaatje in een zinnetje (Ik zie een bal), Wat doet...? (De jongen speelt), Zeg een zin over jouw favoriete... (Ik houd van...). Format: Interactieve spreekoefeningen met visuele prikkels, kinderen spreken hardop, leerkracht modelleert correcte uitspraak. Materiaal: grote aanwijsplaatjes, concrete voorwerpen, fotomateriaal van herkenbare situaties. Spelend leren met taalspelletjes. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"1","1M3","Vragen stellen","E","Vragen stellen bij nieuwsgierigheid","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Spreken - Vraagstelling en dialoog. Leerdoel (1M3): Vragen stellen vanuit nieuwsgierigheid, gebruik maken van vraagwoorden. Niveau: E (eind groep 1). Stimuleer vraagwoorden: wie, wat, waar, hoe. Speelse context: mysteries in een doos, plaatjes met ontbrekende informatie, verhaaltjes met vragen. Vraagtypen: Stel een vraag over het plaatje (Wie is dat?), Wat wil je weten over...? (Wat zit in de doos?), Vraag iets aan je klasgenoot (Waar woon jij?), Welk vraagwoord gebruik je? (training wie/wat/waar). Format: Interactieve vraagoefeningen in tweetallen of kringgesprek. Materiaal: mysterieuze voorwerpen, plaatjes met vragen, vraagwoordkaarten met symbolen. Spelend leren: vraagspelletjes, 'Raad eens'-activiteiten. Ondersteuning: Leerkracht modelleert vraagzinnen, kinderen herhalen en oefenen in veilige context. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2M1","Luisteren en begrijpen","M","Luisteren naar instructies en deze opvolgen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Luisteren - Instructies begrijpen en opvolgen. Leerdoel (2M1): Luisteren naar instructies en deze correct opvolgen, richtingsbegrip ontwikkelen. Niveau: M (midden groep 2). Progressie: 1-staps instructies ? 2-staps instructies. Speelse context: gymzaal, knutselen, spellen in de klas, opruimen. Vraagtypen: Wat moet je doen? (Pak de rode blokken en zet ze in de kist), Luister en doe de opdracht (Ga naar de deur en klap in je handen), Volg de instructie in 2 stappen (Pak eerst je schoen, en dan je jas), Wat hoorde je eerst/tweede? (volgorde checken). Format: Actieve luister- en doe-opdrachten met concrete handelingen. Materiaal: voorwerpen in de klas, pictogrammen voor visuele ondersteuning. Ondersteuning: Herhaling mogelijk, visuele ondersteuning met gebaren of plaatjes bij instructies. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2M2","Verhaaltje vertellen","M","Klein verhaaltje vertellen over eigen ervaring","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Spreken - Narratieve vaardigheden. Leerdoel (2M2): Klein verhaaltje vertellen over eigen ervaring in chronologische volgorde (3-5 zinnen). Niveau: M (midden groep 2). Focus op: chronologische voegwoorden (eerst, toen, daarna, tenslotte), persoonlijke beleving, uitbreiding woordenschat met bijvoeglijke naamwoorden. Speelse context: weekend, vakantie, verjaardagsfeestje, uitje naar de speeltuin/dierentuin. Vraagtypen: Vertel over gisteren (Wat deed je eerst? En toen?), Wat deed je in het weekend? (met volgorde), Vertel over je favoriete speelgoed (beschrijving + gebruik), Vertel wat er gebeurde toen... (concrete herinnering). Format: Vertelsituaties in kleine groepjes of tweetallen met ondersteuning. Materiaal: plaatjes als geheugensteun, tijdlijnkaarten (eerst/toen/daarna), persoonlijke voorwerpen als vertelhulp. Ondersteuning: Leerkracht helpt met vraagstelling, modelleert chronologische volgorde. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2M3","Duidelijk spreken","E","Duidelijk articuleren, verstaanbaar spreken","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Spreken - Articulatie en uitspraak. Leerdoel (2M3): Duidelijk articuleren en verstaanbaar spreken voor klasgenoten. Niveau: E (eind groep 2). Focus op: duidelijke uitspraak moeilijke klanken (sch, st, gr, kr), tempo (niet te snel), stemvolume (hoorbaar voor groep). Vraagtypen: Spreek het woord duidelijk uit (schaap, school, straat, groep), Zeg de zin langzaam en duidelijk (De grote grijze kat slaapt), Herhaal met een duidelijke stem (niet fluisteren), Zeg een rijmpje met goede articulatie (versjes, klankrijmpjes). Format: Articulatie- en uitspraakoefeningen met audio-ondersteuning of modelvoorbeeld. Materiaal: klankkaarten met moeilijke klanken, spiegel voor articulatiecontrole, rijmpjes en versjes. Spelend leren: tongbrekers voor kleuters, rijmspelletjes. Ondersteuning: Leerkracht modelleert correcte uitspraak, kinderen imiteren, positieve bekrachtiging. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2M4","Beurten respecteren","E","Luisteren naar anderen, wachten op je beurt","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Luisteren en Spreken - Gespreksregels en sociale interactie. Leerdoel (2M4): Luisteren naar anderen, wachten op je beurt, gespreksregels toepassen. Niveau: E (eind groep 2). Focus op: beurten respecteren, naar spreker kijken, wachten tot iemand uitgesproken is, hand opsteken. Nederlandse gespreksconventies: beleefd luisteren, reactie geven met ja/nee, bedankt/alsjeblieft. Vraagtypen: Wie is aan de beurt?, Luister eerst, dan mag jij, Wacht op je beurt (oefening met pratende knuffel/bal), Wat zei je klasgenoot? (actief luisteren checken), Hoe laat je zien dat je wilt praten? (hand opsteken). Format: Groepsgespreksoefeningen in kring met praatvoorwerp (spreekbeurt-knuffel). Materiaal: spreekbeurt-voorwerp, visuele hulp met gespreksregels (pictogrammen), timer voor spreekbeurten. Ondersteuning: Leerkracht begeleidt gesprek, herinnert aan regels, geeft complimenten bij correct gedrag. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"3","3M1","Actief luisteren","M","Actief luisteren en hoofdzaken onthouden","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Luisteren - Luisterbegrip en hoofdzaken. Leerdoel (3M1): Actief luisteren en hoofdzaken onthouden uit langere verhalen en instructies. Niveau: M (midden groep 3). Progressie van Groep 2: langere teksten (5-7 minuten), 3-4 staps instructies, focus op kernboodschap. Luisterstrategie?n: belangrijke informatie herkennen, zich concentreren, details vs. hoofdzaken. Context: schoolse situaties, instructies voor groepswerk, verhalen met plot. Vraagtypen: Wat was het belangrijkste in het verhaal?, Wat gebeurde er eerst/toen/daarna? (3-4 stappen), Wat hoorde je allemaal? (opsomming), Welke hoofdpersonen waren er?, Waar speelde het verhaal? (setting). Format: Luisterbegrepoefeningen met 4 meerkeuzevragen per tekst. Materiaal: voorgelezen verhalen, instructieteksten, audiofragmenten. Werkvorm: Eerst luisteren, dan vragen beantwoorden (opbouw naar zelfstandig). Ondersteuning: Hulp waar nodig, herhaling mogelijk bij M-niveau. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3M2","Informatie vragen","M","Gerichte vragen stellen om informatie te krijgen","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Spreken - Informatieve vraagstelling. Leerdoel (3M2): Gerichte vragen stellen om informatie te krijgen, onderscheid open en gesloten vragen. Niveau: M (midden groep 3). Focus op: uitbreiding vraagwoorden (wie, wat, waar, wanneer, hoe, waarom, hoeveel), verschil gesloten vraag (ja/nee antwoord) en open vraag (uitgebreid antwoord). Context: informatief interview, vragen stellen aan expert/gast, vragen bij presentatie klasgenoot. Vraagtypen: Stel een vraag over het onderwerp (Hoe werkt een??), Vraag hoe/waarom/wanneer (Waarom is de lucht blauw?), Interview je klasgenoot (3-4 vragen voorbereiden), Welk soort vraag is dit: open of gesloten?. Format: Vraaggesprekken en mini-interviews in tweetallen. Materiaal: interviewkaarten met vraagstarters, lijst met vraagwoorden. Werkvorm: Voorbereiding met leerkracht, dan zelfstandig oefenen. Differentiatie: Extra ondersteuning met vraagstartkaarten. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3M3","Mening geven","E","Eigen mening uitspreken en onderbouwen","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K1 (Mondeling taalvaardigheid - luisteren en spreken). Inhoudslijn: Mondelinge taalvaardigheid - Spreken - Mening en argumentatie (basis). Leerdoel (3M3): Eigen mening uitspreken en onderbouwen met eenvoudige reden (omdat-zinnen). Niveau: E (eind groep 3). Focus op: persoonlijke voorkeur uitspreken, eenvoudige onderbouwing geven, luisteren naar andermans mening. Signaalwoorden: Ik vind dat..., omdat..., Ik ben het eens/niet eens. Context: herkenbare dilemma's voor 8-jarigen: huisdier kiezen, favoriete seizoen, speelplein of zwembad. Vraagtypen: Wat vind jij het leukste en waarom?, Waarom denk je dat?, Ben je het eens met de stelling: (simpele stelling)? Geef een reden, Welk boek/dier/seizoen vind je beter? Leg uit waarom. Format: Meningsopdrachten met motivatie in klassengesprek. Materiaal: stellingenkaarten met plaatjes, voor/tegen-bordjes. Werkvorm: Kringgesprek of kleine groepjes, leerlingen geven om de beurt mening. Differentiatie: Ondersteuning met omdat-zinnen op kaarten. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
