Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
1,1S1,Tekenen en kribbelen,E,"Tekenen en kribbelen als voorbereiding op schrijven","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K2 (Schrijven). Inhoudslijn: Schrijven - Grafomotoriek - Schrijfvoorbereidende activiteiten. Leerdoel (1S1): Tekenen en kribbelen als voorbereiding op schrijven, ontwikkeling van hand-oog coördinatie en pengreep. Niveau: E (eind groep 1). Gebruik speelse, visuele opdrachten met grote schrijfbewegingen. Context: gebruik dikke stiften, krijt, vingerverf, schrijfdans op muziek. Vraagtypen: trek horizontale/verticale lijnen na, maak cirkels en spiralen, trek zigzagpatronen, teken golven en bochten, verbind de stippen om vormen te maken. Format: visuele grafomotoriek-oefeningen met grote afbeeldingen en duidelijke patronen. Ondersteuning: met begeleiding van leerkracht, voorlezen van instructies, spelend leren context (speeltuin, dieren, voertuigen)."
1,1S2,Schrijfmotoriek,E,"Schrijfmotoriek ontwikkelen met grote bewegingen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K2 (Schrijven). Inhoudslijn: Schrijven - Grafomotoriek - Grove motoriek. Leerdoel (1S2): Schrijfmotoriek ontwikkelen met grote bewegingen ter voorbereiding op lettervorming. Niveau: E (eind groep 1). Focus op grove motoriek en ritme. Context: gebruik groot papier (A3), schoolbord, zandtafel voor schrijfoefeningen. Vraagtypen: trek schrijfdans-patronen na (bergen, golven, bruggen), maak grote cirkels linksom en rechtsom, trek zigzaglijnen, teken slangen en spiralen, maak rijbewegingen in de lucht. Format: motorische schrijfvoorbereidingsoefeningen met duidelijke visuele voorbeelden en muzikale begeleiding waar mogelijk. Ondersteuning: samen met leerkracht, groepsactiviteiten, spelend oefenen."
2,2S1,Letters schrijven,M,"Alle letters kunnen schrijven (blokletters of verbonden)","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Handschrift - Lettervorming. Leerdoel (2S1): Alle letters van het alfabet kunnen schrijven (blokletters of verbonden letters volgens schoolmethode). Niveau: M (midden groep 2). Focus op correcte lettervorming en schrijfrichting. Context: gebruik schrijflijnen, letterhoogte-sjablonen. Vraagtypen: schrijf kleine letter a-z na met voorbeeld, schrijf grote letter A-Z na, welke letter zie je (herkenning), schrijf letters in alfabetische volgorde, combineer letter met bijbehorend geluid. Format: letterherkenning en schrijfoefeningen met duidelijk voorbeeld, schrijflijnen en pijltjes voor schrijfrichting. Ondersteuning: stapsgewijze instructie per letter, visuele voorbeelden, mogelijk met didactische handschriftmethode (Pennenstreken, Schrijfdans)."
2,2S2,Woordjes schrijven,M,"Eenvoudige woordjes kunnen opschrijven","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K2 (Schrijven), K7 (Spelling - Klankzuiver). Inhoudslijn: Schrijven - Spelling - Klankzuivere woorden. Leerdoel (2S2): Eenvoudige klankzuivere woordjes kunnen opschrijven (3-5 letters). Niveau: M (midden groep 2). Focus op koppeling klank-letter. Gebruik eenvoudige CVC-woorden (medeklinker-klinker-medeklinker) zoals: zon, roos, poes, maan, boot. Vraagtypen: schrijf het woord bij het plaatje (kat, hond, bal), vul ontbrekende letters aan (b_l, p_es), klankzuiver opschrijven wat je hoort (luisteroefening), kies het juiste woord bij de afbeelding (4 opties). Format: woordenschatoefeningen met duidelijke kleurrijke plaatjes en visuele ondersteuning. Ondersteuning: woorden voorlezen, klanken aanbieden."
2,2S3,Eigen naam schrijven,E,"Eigen naam goed kunnen schrijven","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Handschrift - Naamschrijven. Leerdoel (2S3): Eigen naam (voor- en achternaam) goed en leesbaar kunnen schrijven met hoofdletter. Niveau: E (eind groep 2). Focus op hoofdlettergebruik en leesbaarheid. Context: naamkaartjes, werkbladen ondertekenen. Vraagtypen: schrijf je voornaam met hoofdletter, schrijf je achternaam, welke letter begint jouw naam, schrijf volledige naam (voor- en achternaam), welke namen beginnen met hoofdletter (4 opties). Format: naamsschrijfoefeningen met lijnen, voorbeelden van correcte hoofdletter, persoonlijke context. Ondersteuning: voorbeeld van eigen naam, traceerlijnen beschikbaar."
2,2S4,Korte zinnen schrijven,E,"Korte zinnen kunnen opschrijven","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Zinsbouw - Eenvoudige zinnen. Leerdoel (2S4): Korte zinnen van 3-5 woorden kunnen opschrijven met hoofdletter en punt. Niveau: E (eind groep 2). Focus op basisstructuur: wie doet wat. Context: herkenbare situaties (speeltuin, thuis, school). Vraagtypen: maak een zin bij het plaatje (De kat slaapt.), schrijf de zin netjes over, vul het ontbrekende woord aan in de zin, kies de juiste zin bij de afbeelding (4 opties), verbeter de zin (hoofdletter/punt). Format: eenvoudige zinsoefeningen met kleurrijke visuele ondersteuning en voorbeeldzinnen. Ondersteuning: woordbank beschikbaar, visuele zinsstructuurkaarten."
3,3S1,Spelling klankzuiver,M,"Klankzuivere woorden correct spellen (roos, boom, zon)","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K7 (Spelling - Klankzuiver). Inhoudslijn: Schrijven - Spelling - Klankzuivere woorden. Leerdoel (3S1): Klankzuivere woorden correct spellen waarbij elke letter hoorbaar is (roos, boom, zon, paard, bloem). Niveau: M (midden groep 3). Focus op correcte weergave van alle klanken. Spelling categorie: klankzuiver (wat je hoort, schrijf je). Vraagtypen: schrijf het woord zoals je het hoort (dictee), vul ontbrekende letters in (b__m, z_n), kies het juiste woord (4 opties: roos/ros/roes/rooze), split het woord in klanken (r-oo-s), corrigeer de schrijffout. Format: klankzuivere spellingoefeningen met luisterfragmenten en visuele woordkaarten. Zelfstandig werken met mogelijkheid tot herhaling audio."
3,3S2,Handschrift leesbaar,M,"Leesbaar handschrift ontwikkelen","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Handschrift - Leesbaarheid en vloeiendheid. Leerdoel (3S2): Leesbaar en vlot handschrift ontwikkelen met aandacht voor lettervorm, -hoogte en -verbindingen. Niveau: M (midden groep 3). Focus op overgang naar vloeiend schrijven. Context: schrijftempo verhogen zonder leesbaarheid te verliezen. Vraagtypen: schrijf de zin netjes over, let op gelijke letterhoogte (kleine letters, stokletters, staartletters), verbind letters correct (lettergrepen), welk handschrift is het beste leesbaar (4 voorbeelden), corrigeer slordige letters. Format: handschriftoefeningen met schrijflijnen, voorbeelden van correcte lettervorm, vergelijkingsoefeningen. Ondersteuning: visuele voorbeelden, gebruik van schrijfmethode (bijv. Pennenstreken)."
3,3S3,Spelling basisregels,E,"Basisspellingsregels: lange en korte klanken (maan, man)","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Lange en korte klanken. Leerdoel (3S3): Basisspellingsregels voor lange en korte klanken toepassen (maan/man, boom/bom, roos/ros). Niveau: E (eind groep 3). Spellingcategorie: regelmatig (systematisch toe te passen regels). Focus op verschil tussen enkelvoudige en dubbele klinkers. Vraagtypen: is de klank lang of kort, kies: maan of man (4 opties), boom of bom (in context), vul aa/a, oo/o, ee/e, uu/u in, luister en schrijf het juiste woord, verbeter de spellingfout. Format: lange/korte klanken oefeningen met CITO-stijl 4 antwoordopties, combinatie van luisteren en lezen. Zelfstandig werken."
3,3S4,Zinnen met hoofdletter en punt,E,"Zinnen beginnen met hoofdletter, eindigen met punt","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Zinsbouw - Interpunctie. Leerdoel (3S4): Zinnen correct beginnen met hoofdletter en eindigen met punt. Niveau: E (eind groep 3). Focus op basispunctatie. Vraagtypen: zet de hoofdletter en punt op de juiste plek, welke zin is goed geschreven (4 opties), verbeter deze zin (hoofdletter/punt vergeten), schrijf de zin opnieuw met correcte punctuatie, kies waar de punt hoort. Format: interpunctie-oefeningen met complete zinnen in herkenbare contexten. CITO-stijl met 4 antwoordopties waar van toepassing. Zelfstandig werken."
