"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"1","1T1","Woordenschat ontwikkelen","E","Basiswoordenschat uitbreiden met dagelijkse woorden","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Woordenschat - Basiswoorden. Leerdoel (1T1): Basiswoordenschat uitbreiden met dagelijkse woorden uit directe leefomgeving. Niveau: E (eind groep 1). Gebruik grote, duidelijke foto's en plaatjes van herkenbare voorwerpen. Speelse context: thuis, school, speeltuin. Vraagtypen: Welk woord hoort bij dit plaatje?, Wat zie je hier? (appel/peer/banaan/druif), Waarmee speel je buiten? (bal/schommel/glijbaan/fiets), Welk dier is dit? (hond/kat/konijn/vogel). Format: Visueel met exacte 4 grote antwoordopties (plaatjes + woorden), met begeleiding van leerkracht die instructies voorleest. Woordcategorie?n: dieren, eten, speelgoed, lichaamsdelen, kleding. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"1","1T2","Rijmen herkennen","E","Rijmwoorden herkennen in liedjes en versjes","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Klankbewustzijn - Rijmen. Leerdoel (1T2): Rijmwoorden herkennen in eenvoudige liedjes en versjes, fonologisch bewustzijn ontwikkelen. Niveau: E (eind groep 1). Gebruik bekende rijmparen uit kinderliedjes. Speelse context: Rijmen met Nijntje, Jip en Janneke. Vraagtypen: Rijmt 'maan' op 'paan'? (ja/nee met plaatjes), Welk woord rijmt op 'huis'? (muis/roos/boom/zon), Wat rijmt op 'kat'? (mat/hond/stoel/boom), Welke twee woorden rijmen? (beer-peer / appel-tafel). Format: Auditief met visuele ondersteuning (4 plaatjes per vraag), leerkracht leest voor, kinderen wijzen aan. Ontwikkelt metalingu?stisch bewustzijn door aandacht voor klanken. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2T1","Woorden ordenen","M","Woorden ordenen naar categorie (dieren, eten, kleding)","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Woordenschat - Categoriseren. Leerdoel (2T1): Woorden semantisch ordenen naar logische categorie?n, woordenschatstructuur ontwikkelen. Niveau: M (midden groep 2). Categorie?n: dieren, eten/drinken, kleding, speelgoed, voertuigen. Vraagtypen: Bij welke categorie hoort 'appel'? (eten/dieren/kleding/speelgoed), Welk woord hoort NIET bij dieren? (hond/kat/tafel/paard), Wat hoort bij kleding? (jas/appel/bal/auto), Sorteer: welke zijn voertuigen? (auto-fiets of hond-boom). Format: Categoriseren met duidelijke plaatjes, 4 antwoordopties, met concrete materialen te oefenen (kaartjes sorteren). Ontwikkelt semantisch bewustzijn en woordrelaties. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2T2","Tegengestelden","M","Tegengestelde woorden kennen (groot-klein, warm-koud)","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Woordrelaties - Antoniemen. Leerdoel (2T2): Tegengestelde woorden (antoniemen) herkennen en gebruiken, begrip van semantische tegenstellingen. Niveau: M (midden groep 2). Concrete antoniemen: groot-klein, hoog-laag, warm-koud, vol-leeg, nat-droog, lang-kort. Vraagtypen: Wat is het tegenovergestelde van 'groot'? (klein/rood/rond/zacht), Het tegenovergestelde van 'warm' is...? (koud/heet/nat/hard), Welk plaatje toont het tegenovergestelde van 'vol'? (4 plaatjes), Wat is het tegengestelde van 'hoog'? (laag/diep/breed/dun). Format: Multiple choice met 4 antwoordopties, ondersteund met contrasterende plaatjes. Ontwikkelt metalingu?stisch begrip van woordbetekenisrelaties. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2T3","Woordenschat thematisch","E","Woordenschat per thema uitbreiden (school, thuis, buiten)","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Woordenschat - Thematische uitbreiding. Leerdoel (2T3): Thematische woordenschat systematisch uitbreiden voor verschillende leefgebieden. Niveau: E (eind groep 2). Thema's: school (schooltas, potlood, plein, juf), thuis (keuken, slaapkamer, tuin), buiten (park, winkel, straat), seizoenen. Vraagtypen: Welke woorden horen bij 'school'? (4 opties waarvan 1 juist), Wat gebruik je in de keuken? (pan/bed/schommel/fiets), Wat zie je buiten in de herfst? (bladeren/bloemen/sneeuw/zon), Benoem voorwerpen op het schoolplein (4 opties). Format: Thematische woordenschat met herkenbare Nederlandse contexten, 4 antwoordopties met plaatjes. Zelfstandig werken met visuele ondersteuning. Integreert woordenschat met directe leefwereld. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"3","3T1","Woordsoorten herkennen basis","M","Zelfstandig naamwoord en werkwoord herkennen","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Grammatica - Woordsoorten basis. Leerdoel (3T1): Zelfstandig naamwoord (personen, dieren, dingen) en werkwoord (doe-woorden) herkennen, eerste grammaticale bewustzijn. Niveau: M (midden groep 3). Concrete voorbeelden in eenvoudige zinnen. Vraagtypen: Is 'hond' een zelfstandig naamwoord of werkwoord? (zn/ww/bn/anders), Welke woorden zijn werkwoorden in deze zin? (4 opties), 'Rennen' is een...? (werkwoord/zelfstandig naamwoord/bijvoeglijk naamwoord/lidwoord), Wat is het zelfstandig naamwoord: 'De kat slaapt'? (de/kat/slaapt/geen). Format: Herkenningsoefeningen met 4 antwoordopties, gebruik kleurcodering (zn=blauw, ww=rood). Ontwikkelt metalingu?stisch bewustzijn van woordfuncties. Hulp waar nodig met concrete voorbeelden. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3T2","Synoniemen","M","Woorden met dezelfde betekenis kennen (mooi-prachtig)","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Woordrelaties - Synoniemen. Leerdoel (3T2): Synoniemen herkennen en gebruiken, woordenschat verrijken met betekenisrelaties. Niveau: M (midden groep 3). Eenvoudige synoniemen: mooi-prachtig, groot-enorm, klein-miniem, blij-vrolijk, boos-kwaad. Vraagtypen: Welk woord betekent hetzelfde als 'mooi'? (prachtig/lelijk/groot/rood), Wat is een synoniem van 'groot'? (enorm/klein/hoog/breed), Vervang 'blij' door een woord met dezelfde betekenis (vrolijk/verdrietig/boos/moe), Welke twee woorden betekenen hetzelfde? (snel-vlug / groot-klein). Format: 4 antwoordopties, CITO-stijl. Gebruik concrete contexten die kinderen kennen. Ontwikkelt nuancering in woordgebruik en metalingu?stisch begrip. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3T3","Meervoud vormen","E","Meervoud maken met -en en -s","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Grammatica - Meervoudsvorming. Leerdoel (3T3): Regelmatige meervoudsvormen correct toepassen (-en, -s), taalpatronen herkennen. Niveau: E (eind groep 3). Regelmatige patronen: -en (hond-honden, kat-katten), -s (auto-auto's, foto-foto's). Vraagtypen: Wat is het meervoud van 'hond'? (honden/honds/honde/hondjes), hond-honden, kat-...? (katten/kats/katte/kat), Kies de juiste meervoudsvorm van 'auto' (auto's/autoen/autos/autoos), Welk meervoud is correct? (boeken/boken/boeks/boek). Format: 4 antwoordopties, CITO-stijl meervoudsvorming. Zelfstandig werken. Legt basis voor spellingbewustzijn en morfologisch begrip. Geef voorbeelden bij beide patronen. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3T4","Woordfamilies","E","Woorden uit dezelfde familie herkennen (bakker, bakkerij, bakken)","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Woordrelaties - Woordfamilies. Leerdoel (3T4): Woorden uit dezelfde woordfamilie herkennen aan gemeenschappelijke stam, morfologisch bewustzijn ontwikkelen. Niveau: E (eind groep 3). Concrete woordfamilies: bakken-bakker-bakkerij, lopen-loper-loop, werken-werker-werk. Vraagtypen: Welke woorden horen bij de familie van 'bakken'? (bakker/slager/koken/eten), Welk woord hoort NIET bij de woordfamilie 'lopen'? (loper/loop/gelopen/rennen), Vind het woord uit dezelfde familie als 'werken' (werker/spelen/baan/school), Wat is de stam van bakker-bakkerij-bakken? (bak/ker/akk/ken). Format: 4 antwoordopties, CITO-stijl. Zelfstandig werken. Ontwikkelt morfologisch bewustzijn en woordstructuurinzicht. Gebruik herkenbare beroepen en activiteiten. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"4","4T1","Woordsoorten: bijvoeglijk naamwoord","M","Bijvoeglijk naamwoord herkennen en gebruiken","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K9 (Taalbeschouwing - taalstructuur en woordenschat). Inhoudslijn: Taalbeschouwing - Grammatica - Woordsoorten uitbreiding. Leerdoel (4T1): Bijvoeglijk naamwoord (eigenschapswoord) herkennen en gebruiken, woordsoortbewustzijn uitbreiden. Niveau: M (midden groep 4). Bijvoeglijke naamwoorden beschrijven zelfstandige naamwoorden (de grote hond, een mooi huis). Vraagtypen: Welke woorden zijn bijvoeglijke naamwoorden in deze zin? (4 opties), 'Snel' in 'de snelle auto' is een...? (bijvoeglijk naamwoord/werkwoord/zelfstandig naamwoord/lidwoord), Vul een bijvoeglijk naamwoord in: 'De ... hond blaft' (grote/hond/blaft/de), Wat beschrijft het woord 'mooi' in 'een mooi boek'? (boek/lezen/pagina/iemand). Format: 4 antwoordopties, CITO-stijl. Gebruik kleurcodering (bn=groen). Hulp waar nodig. Ontwikkelt begrip van beschrijvende functie van woorden. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
