Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
1,1NT1,Zintuigen,E,"Vijf zintuigen: zien, horen, ruiken, proeven, voelen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: O5 (Kerndoel 41: Gezondheid en menselijk lichaam). Inhoudslijn: Oriëntatie - Natuur en Techniek - Menselijk lichaam - Zintuigen. Leerdoel (1NT1): De vijf zintuigen herkennen en benoemen: zien (ogen), horen (oren), ruiken (neus), proeven (tong), voelen (huid). Niveau: E (eind groep 1). Speelse, concrete context met herkenbare situaties uit het dagelijks leven. Gebruik grote, duidelijke plaatjes/foto's van zintuigorganen en voorwerpen. Vraagtypen: Met welk lichaamsdeel ruik je een bloem?, Waarmee hoor je muziek?, Waarmee voel je dat water warm is?, Waarmee zie je een vogel?, Waarmee proef je dat een citroen zuur is?, Wijs de neus/ogen/oren/tong aan op een plaatje. Format: 10 visuele vragen met 4 antwoordopties (grote plaatjes), spelend leren aanpak. Ondersteuning: Met begeleiding van leerkracht, instructies voorlezen, concreet materiaal beschikbaar (voelzak, geurpotjes, geluidsdoosjes)."
1,1NT2,Seizoenen,E,"Vier seizoenen herkennen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: O6 (Kerndoel 42: Planten en dieren in relatie tot seizoenen). Inhoudslijn: Oriëntatie - Natuur en Techniek - Natuur en seizoenen. Leerdoel (1NT2): De vier seizoenen herkennen aan typische kenmerken (lente, zomer, herfst, winter). Niveau: E (eind groep 1). Observatie-activiteit met herkenbare Nederlandse seizoenskenmerken. Gebruik kleurrijke seizoensfoto's van Nederlandse landschappen. Vraagtypen: Welk seizoen zie je op het plaatje?, Wanneer ligt er sneeuw?, Wanneer bloeien de tulpen?, Wanneer vallen de bladeren van de bomen?, Welke kleren draag je in de winter?, Wanneer ga je naar het strand?. Format: 10 visuele herkenningsvragen met 4 seizoensgerelateerde antwoordopties (grote duidelijke plaatjes). Ondersteuning: Leerkracht begeleidt, bespreekt seizoenen aan de hand van het seizoensbord in de klas, koppelt aan eigen ervaringen van kinderen."
2,2NT1,Lichaamsdelen,M,"Belangrijke lichaamsdelen kennen en benoemen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: O5 (Kerndoel 41: Gezondheid en menselijk lichaam). Inhoudslijn: Oriëntatie - Natuur en Techniek - Menselijk lichaam - Lichaamsdelen. Leerdoel (2NT1): Belangrijke lichaamsdelen kennen, benoemen en hun functie begrijpen (hoofd, armen, benen, handen, voeten, buik, rug, ogen, oren, neus, mond). Niveau: M (midden groep 2). Concreet en spelend leren met eigen lichaam als uitgangspunt. Gebruik anatomische platen en spiegels. Vraagtypen: Wijs je elleboog aan, Hoe heet dit lichaamsdeel? (wijst naar knie), Waarmee kun je rennen?, Waarmee pak je dingen vast?, Welk lichaamsdeel gebruik je om te zwaaien?, Hoeveel vingers heb je aan één hand?. Format: 10 vragen met 4 antwoordopties, mix van benoemen en functie herkennen, visueel ondersteund met foto's/tekeningen. Ondersteuning: Interactief, kinderen mogen lichaamsdelen aanwijzen op zichzelf en elkaar, liedjes gebruiken (hoofd schouders knie en teen)."
2,2NT2,Planten en dieren,M,"Planten en dieren in de omgeving herkennen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: O6 (Kerndoel 42: Planten en dieren in hun leefomgeving). Inhoudslijn: Oriëntatie - Natuur en Techniek - Planten en dieren - Herkenning. Leerdoel (2NT2): Planten en dieren in de directe omgeving herkennen en benoemen (Nederlandse soorten). Niveau: M (midden groep 2). Observatie-activiteit met bekende Nederlandse planten en dieren. Gebruik kleurrijke natuurfoto's van herkenbare soorten. Vraagtypen: Welke dieren leven in het Nederlandse bos? (vos, konijn, egel, eekhoorn), Welke bloemen zie je in de tuin? (tulp, roos, zonnebloem), Is dit een plant of een dier?, Welk dier zie je? (mus, merel, duif), Waar woont een eend?. Format: 10 herkenningsvragen met 4 antwoordopties (grote duidelijke natuurfoto's). Ondersteuning: Koppeling aan excursies/natuurtafel in de klas, prentenboeken over Nederlandse natuur, seizoenstafel met natuurmaterialen."
2,2NT3,Dag en nacht,E,"Dag en nacht, de zon en de maan","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: O8 (Kerndoel 44: Energie - zonlicht en aarde). Inhoudslijn: Oriëntatie - Natuur en Techniek - Aarde en ruimte - Dag en nacht. Leerdoel (2NT3): Het verschil tussen dag en nacht begrijpen, de zon en de maan herkennen. Niveau: E (eind groep 2). Observatie van natuurverschijnselen met concrete dagelijkse ervaringen. Gebruik contrasterende dag/nacht beelden. Vraagtypen: Wanneer zie je de zon?, Wanneer is het donker buiten?, Wanneer zie je de maan?, Wat doe je overdag? (spelen, eten, naar school), Wat doe je 's nachts? (slapen), Welk plaatje laat de dag zien?. Format: 10 vergelijkingsvragen met 4 antwoordopties (dag/nacht contrasten met duidelijke foto's). Ondersteuning: Bespreek dagritme met de kinderen, gebruik dagkalender, koppel aan eigen ervaringen (wanneer sta je op, wanneer ga je slapen)."
2,2NT4,Gezond leven,E,"Gezond eten en bewegen","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: O5 (Kerndoel 41: Gezondheid en gezonde leefstijl). Inhoudslijn: Oriëntatie - Natuur en Techniek - Gezondheid - Voeding en beweging. Leerdoel (2NT4): Basisbegrippen van gezond eten en bewegen begrijpen. Niveau: E (eind groep 2). Concreet herkenbare voedingsmiddelen en bewegingsactiviteiten. Gebruik duidelijke foto's van voedsel en sport/spel activiteiten. Vraagtypen: Welk voedsel is gezond voor je? (appel, wortel, brood vs snoep), Wat is goed om te drinken? (water, melk vs frisdrank), Waarom is buitenspelen belangrijk?, Hoeveel moet je bewegen per dag?, Welke groente is gezond?, Wat doe je om fit te blijven?. Format: 10 keuze-vragen met 4 antwoordopties (visueel met herkenbare voeding/activiteiten). Ondersteuning: Koppel aan de schijf van vijf (vereenvoudigd), bespreek dagelijkse gezonde keuzes, gebruik bewegingsliedjes en fruit/groente herkenning."
3,3NT1,Menselijk lichaam basis,M,"Hart, longen, spieren, botten","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: O5 (Kerndoel 41: Gezondheid en menselijk lichaam - organen). Inhoudslijn: Oriëntatie - Natuur en Techniek - Menselijk lichaam - Organen en functies. Leerdoel (3NT1): Basiskennis van belangrijke organen en lichaamsdelen: hart (pompt bloed), longen (ademhaling), spieren (beweging), botten (skelet/steun). Niveau: M (midden groep 3). Transitie van concreet zichtbaar naar intern/niet-zichtbaar. Gebruik eenvoudige anatomische platen geschikt voor jonge kinderen. Vraagtypen: Waar zit je hart in je lichaam?, Wat doet het hart?, Waarvoor gebruik je je spieren?, Wat doen je longen als je ademt?, Hoeveel botten heeft een mens ongeveer? (veel/weinig), Waarom heb je botten nodig?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met visuele ondersteuning (lichaamsillustraties). Werkvorm: Semi-zelfstandig met uitleg vooraf, gebruik van anatomische poppen of modellen in de klas."
3,3NT2,Levenscyclus,M,"Levenscyclus van plant en dier","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: O6 (Kerndoel 42: Planten en dieren - levenscycli). Inhoudslijn: Oriëntatie - Natuur en Techniek - Levenscyclus - Planten en dieren. Leerdoel (3NT2): De levenscyclus van planten en dieren begrijpen (geboorte, groei, voortplanting, dood). Niveau: M (midden groep 3). Wetenschappelijke observatie van natuurlijke processen met Nederlandse voorbeelden. Gebruik duidelijke fase-illustraties en foto's. Vraagtypen: Wat komt eerst, het ei of de kip?, Zet de fasen van zaad tot bloeiende plant in de juiste volgorde, Wat is de levenscyclus van een vlinder? (ei-rups-pop-vlinder), Wat groeit uit een eikeltje?, Hoe wordt een kikvorsje een grote kikker?. Format: 10 volgorde/meerkeuze vragen met 4 antwoordopties, CITO-stijl met visuele fasesequenties. Werkvorm: Semi-zelfstandig, bij voorkeur gekoppeld aan klas-observaties (rupsjes kweken, tuinbonen laten groeien)."
3,3NT3,Weer en klimaat,E,"Weersomstandigheden en weersverwachting","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: O8 (Kerndoel 44: Energie - weer en klimaat). Inhoudslijn: Oriëntatie - Natuur en Techniek - Weer en klimaat - Weersomstandigheden. Leerdoel (3NT3): Weersomstandigheden herkennen, benoemen en een eenvoudig weerbericht lezen. Niveau: E (eind groep 3). Wetenschappelijke observatie van weer met praktische toepassingen. Gebruik actuele Nederlandse weerbeelden en symbolen. Vraagtypen: Welk weersymbool hoort bij regen/zon/wind/sneeuw?, Wat trek je aan als het regent en koud is?, Hoe warm is het volgens de thermometer?, Wat zegt het weerbericht voor morgen?, Bij welk weer kun je een sneeuwpop maken?, Wanneer heb je een paraplu nodig?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met weersymbolen en situaties. Werkvorm: Semi-zelfstandig, koppel aan dagelijks weerstation in de klas, gebruik echte weerberichten van Buienradar."
3,3NT4,Materialen,E,"Verschillende materialen: hout, plastic, metaal, glas","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: O7 (Kerndoel 43: Materie - materialen en eigenschappen). Inhoudslijn: Oriëntatie - Natuur en Techniek - Materie - Materiaaleigenschappen. Leerdoel (3NT4): Verschillende materialen herkennen en hun basis-eigenschappen begrijpen (hout, plastic, metaal, glas, papier, steen). Niveau: E (eind groep 3). Wetenschappelijke observatie met hands-on experimenten. Gebruik foto's van alledaagse voorwerpen van verschillende materialen. Vraagtypen: Van welk materiaal is deze stoel/fles/raam gemaakt?, Welk materiaal is het hardst?, Welk materiaal kan breken als je het laat vallen?, Welk materiaal kan je buigen?, Welk materiaal voelt koud aan (metaal)?, Wat is zwaarder: hout of metaal?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met foto's van herkenbare voorwerpen. Werkvorm: Semi-zelfstandig, bij voorkeur met materiaalexperimenten in de klas (voelen, testen, vergelijken)."
