"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"1","1R1","Eigen omgeving","E","School en thuis, binnen en buiten","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: O8 (Kerndoel 46: Ruimtelijke ori?ntatie - kinderen leren zich te ori?nteren in de eigen omgeving). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Eigen omgeving. Leerdoel (1R1): School en thuis, binnen en buiten herkennen en benoemen. Niveau: E (eind groep 1). Gebruik grote, duidelijke foto's en afbeeldingen van herkenbare plekken in de directe omgeving (klaslokaal, speelplaats, gymzaal, kantine, kleedruimte, toiletten, eigen huis, tuin). Speelse context: dagelijkse schoolsituaties. Vraagtypen: Waar speel je buiten in de pauze?, Wat zie je in de klas? (aanwijzen op foto), In welke ruimte zitten we nu?, Is dit binnen of buiten? (foto tonen), Waar eet je je boterham?. Format: 10 visuele vragen met 2-4 grote afbeeldingen als antwoordopties per vraag. Ondersteuning: met begeleiding van leerkracht, instructies worden voorgelezen, kinderen wijzen aan of benoemen mondeling. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"1","1R2","Richtingen basis","E","Links, rechts, voor, achter, boven, onder","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: O8 (Kerndoel 46: Ruimtelijke ori?ntatie - positionele begrippen). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Richtingen en posities. Leerdoel (1R2): Positionele woorden links, rechts, voor, achter, boven, onder begrijpen en toepassen. Niveau: E (eind groep 1). Gebruik grote, kleurrijke afbeeldingen met herkenbare voorwerpen (speelgoed, dieren, schoolspullen) in verschillende posities. Speelse context: spelletjes zoals verstoppertje, zoekplaatjes. Vraagtypen: Wat zit boven de tafel?, Wat staat achter de stoel?, Waar is de bal - links of rechts van de doos?, Zit de kat voor of achter de boom?, Wat ligt onder het bed?. Format: 10 visuele vragen met 2-4 afbeeldingen als antwoordopties. Ondersteuning: met begeleiding van leerkracht, gebruik van concreet materiaal (blokjes, knuffels) om begrippen te oefenen, instructies voorlezen. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2R1","Plattegrond klas/school","M","Plattegrond van de klas en school herkennen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: O8 en O9 (Kerndoelen 46-47: Ruimtelijke ori?ntatie en kennismaking met kaartvaardigheden). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Plattegronden basis. Leerdoel (2R1): Eenvoudige plattegrond van de klas en school herkennen en gebruiken. Niveau: M (midden groep 2). Gebruik zeer eenvoudige plattegronden in vogelvlucht perspectief met grote, herkenbare symbolen. Begin met plattegrond van eigen klas, dan uitbreiden naar school. Vraagtypen: Waar is de deur op de plattegrond? (aanwijzen), Welke ruimte is dit - klas of gymzaal?, Waar staat de kast van juf?, Zoek het digitale schoolbord op de plattegrond, Welke kant moet je op naar de toiletten?. Format: 10 vragen met zeer eenvoudige plattegronden, 3-4 antwoordopties (foto's of tekeningen) per vraag. Ondersteuning: met begeleiding, eerst samen door de klas lopen en plattegrond vergelijken, gebruik van speelgoed meubeltjes om 3D naar 2D te oefenen. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2R2","Woonplaats","M","Eigen woonplaats kennen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: O8 en O10 (Kerndoelen 46 en 48: Ruimtelijke ori?ntatie en kenmerkende aspecten van de eigen omgeving). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Woonplaats en buurt. Leerdoel (2R2): Eigen woonplaats en belangrijke gebouwen/plekken herkennen en benoemen. Niveau: M (midden groep 2). Gebruik foto's van herkenbare gebouwen en plekken in de eigen woonplaats (bibliotheek, winkelcentrum, park, sportveld, station, brandweerkazerne, ziekenhuis). Vraagtypen: In welke plaats woont onze school?, Herken je deze plek in onze woonplaats?, Wat is dit gebouw? (foto van bibliotheek/winkel/park), Waar ga je naartoe om een boek te lenen?, Waar kun je in onze woonplaats spelen?. Format: 10 vragen met foto's van lokale herkenningspunten, 3-4 afbeeldingen of woorden (met plaatjes) als antwoordopties. Ondersteuning: aanpassen aan eigen woonplaats, eventueel excursie door de buurt, foto's van bekende plekken gebruiken. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2R3","Routes beschrijven","E","Eenvoudige routes beschrijven","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: O8 en O9 (Kerndoelen 46-47: Ruimtelijke ori?ntatie en routevaardigheden). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Routes en wegen. Leerdoel (2R3): Eenvoudige routes kunnen volgen en beschrijven met richtingswoorden. Niveau: E (eind groep 2). Gebruik zeer simpele kaartjes met duidelijke pijlen, paden en herkenningspunten (boom, huis, speeltuin). Gebruik bekende contexten zoals route van huis naar school, route op de speelplaats. Vraagtypen: Welke weg moet je naar de speeltuin?, Ga eerst naar links of rechts bij de boom?, Als je deze route volgt, waar kom je dan uit?, Welke tekening laat de route naar de schommel zien?, Hoeveel keer moet je afslaan?. Format: 10 vragen met eenvoudige routekaarten of tekeningen, 3-4 antwoordopties (plaatjes van routes of bestemmingen). Ondersteuning: eerst routes in de klas oefenen (van tafel naar deur), gebruik pijltjes op de vloer, instructies voorlezen. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"3","3R1","Kaart lezen basis","M","Eenvoudige kaarten lezen met symbolen","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: O9 (Kerndoel 47: Kaartvaardigheden - kinderen leren eenvoudige kaarten en plattegronden te gebruiken). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Kaartlezen met legenda. Leerdoel (3R1): Eenvoudige kaarten lezen met symbolen en legenda. Niveau: M (midden groep 3). Gebruik kaarten van speeltuinen, dierentuinen, of schoolplein met duidelijke legenda en herkenbare symbolen (boom, bankje, schommel, glijbaan, fontein, bloemen). Start met 4-6 symbolen. Vraagtypen: Wat betekent dit symbool op de kaart?, Waar is het klimrek volgens de kaart?, Hoeveel bomen staan er bij de vijver?, Welk symbool hoort bij de schommel?, Waar vind je de toiletten?. Format: 10 vragen met kaarten en legenda's, 4 antwoordopties per vraag (CITO-stijl). Differentiatie: begin met 3-4 symbolen voor extra ondersteuning, uitbreiden naar 8-10 symbolen voor verdieping. Zelfstandig werken met hulp waar nodig. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3R2","Nederland op de kaart","M","Nederland op de kaart vinden","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: O8 en O10 (Kerndoelen 46 en 48: Ruimtelijke ori?ntatie en kenmerkende aspecten van Nederland). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Nederland herkennen. Leerdoel (3R2): Nederland op de kaart van Europa vinden en herkennen. Niveau: M (midden groep 3). Gebruik duidelijke kaart van Europa met landen in verschillende kleuren. Introduceer de vorm van Nederland, buurlanden (Belgi? en Duitsland), en de Noordzee. Context: Nederland is ons land. Vraagtypen: Welk land op de kaart is Nederland?, Waar ligt Nederland - wijs aan, Herken je de vorm van Nederland?, Welke zee grenst aan Nederland?, Wat ligt ten oosten van Nederland - Belgi? of Duitsland?. Format: 10 topografische vragen met kaarten, 4 antwoordopties per vraag (CITO-stijl). Hulp: gebruik schoolatlas, grote wandkaart, puzzel van Nederland. Zelfstandig werken met ondersteuning. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3R3","Windrichtingen","E","Noord, oost, zuid, west","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: O8 en O9 (Kerndoelen 46-47: Ruimtelijke ori?ntatie en windrichtingen op kaarten). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Windrichtingen en kompasroos. Leerdoel (3R3): De vier windrichtingen noord, oost, zuid, west kennen en toepassen. Niveau: E (eind groep 3). Gebruik kompasroos op kaarten en eenvoudige richtingsvragen. Ezelsbruggetje: Never Eet Shredded Wheat (N-O-Z-W met de klok mee). Context: windrichtingen op speelplein, in de klas, op kaart van Nederland. Vraagtypen: Welke windrichting wijst naar boven op de kaart?, Als je van Nederland naar Duitsland gaat, ga je naar het oosten of westen?, In welke windrichting ligt de Noordzee?, Welke pijl wijst naar het zuiden?, Als de zon opkomt, komt die uit het...?. Format: 10 vragen met kompasroos en kaarten, 4 antwoordopties per vraag (CITO-stijl). Materiaal: kompas (echt of op kaart), kaart van Nederland. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3R4","Stad en platteland","E","Verschil tussen stad en platteland","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: O10 (Kerndoel 48: Kenmerkende aspecten van Nederland - stad en platteland). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Landgebruik en leefomgeving. Leerdoel (3R4): Het verschil tussen stad en platteland herkennen en benoemen. Niveau: E (eind groep 3). Gebruik foto's van Nederlandse steden (Amsterdam, Rotterdam, Utrecht met veel gebouwen, winkels, auto's) en platteland (boerderijen, weilanden, koeien, akkers, kleine dorpjes). Vraagtypen: Is dit een stad of platteland?, Wat zie je vooral in de stad (veel/weinig gebouwen)?, Waar wonen meer mensen - stad of platteland?, Wat hoort bij het platteland - boerderij of wolkenkrabber?, Waar vind je akkers en weilanden?. Format: 10 vergelijkingsvragen met foto's, 4 antwoordopties per vraag (CITO-stijl). Context: vergelijk eigen woonplaats met stad of platteland. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"4","4R1","Provincies Nederland","M","12 provincies van Nederland kennen","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten van Nederland). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Provincies topografie. Leerdoel (4R1): Alle 12 provincies van Nederland kennen, herkennen en op de kaart kunnen aanwijzen. Niveau: M (midden groep 4). Gebruik kaart van Nederland met provinciegrenzen en namen. De 12 provincies: Groningen, Friesland, Drenthe, Overijssel, Flevoland, Gelderland, Utrecht, Noord-Holland, Zuid-Holland, Zeeland, Noord-Brabant, Limburg. Start met herkennen, daarna plaatsen. Vraagtypen: Welke provincie is dit (vorm + positie)?, Waar ligt Friesland op de kaart?, Hoeveel provincies heeft Nederland?, Welke provincie grenst aan de Noordzee?, In welke provincie ligt Amsterdam?. Format: 10 topografische multiple choice vragen, 4 antwoordopties per vraag (CITO-stijl). Materiaal: grote wandkaart, schoolatlas, puzzelkaart van Nederland. Zelfstandig werken met hulp waar nodig, oefenen met lege kaart. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
