Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
1,1T1,Dag en nacht ritme,E,"Ochtend, middag, avond, nacht","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdsbesef dagritme. Leerdoel (1T1): Ochtend, middag, avond, nacht herkennen en benoemen. Niveau: E (eind groep 1). Gebruik grote, duidelijke visuele plaatjes van herkenbare dagelijkse activiteiten (ontbijten, naar school, spelen, slapen). Speelse context: dagritme van een kind. Vraagtypen: Wanneer eet je ontbijt - 's ochtends of 's avonds?, Wanneer is de zon aan de hemel?, Wanneer ga je slapen?, Wat doe je 's middags na school?, Welk plaatje hoort bij de avond?. Format: Visueel met 2-3 grote antwoordkeuzes met duidelijke pictogrammen. Ondersteuning: Met begeleiding van leerkracht, instructies worden voorgelezen."
1,1T2,Gisteren, vandaag, morgen,E,"Begrip van tijd: verleden, heden, toekomst","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdsbesef verleden/heden/toekomst. Leerdoel (1T2): Begrip van tijd: verleden (gisteren), heden (vandaag), toekomst (morgen). Niveau: E (eind groep 1). Gebruik zeer concrete, herkenbare gebeurtenissen uit het kinderleven (naar school, verjaardag, bezoek aan oma). Speelse context: wat gebeurde wanneer. Vraagtypen: Wat deed je gisteren op school?, Wat ga je morgen doen?, Wat doe je vandaag?, Welke dag is voor vandaag?, Welke dag komt na vandaag?. Format: Visueel met plaatjes van gebeurtenissen, 2-3 antwoordkeuzes met tijdswoorden. Ondersteuning: Met begeleiding van leerkracht, voorlezen en uitleggen."
2,2T1,Dagen van de week,M,"Zeven dagen van de week kennen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Kalenderkennis weekdagen. Leerdoel (2T1): Zeven dagen van de week kennen en in volgorde kunnen benoemen. Niveau: M (midden groep 2). Gebruik herkenbare weekritmes (gymdag, voorleesdag). Speelse context: weekrooster van de klas. Vraagtypen: Welke dag komt na dinsdag?, Welke dag komt voor vrijdag?, Op welke dag hebben we gym?, Vul de ontbrekende dag in de week in, Hoeveel dagen heeft een week?. Format: Multiple choice met 4 antwoordopties, gebruik visueel weekschema. Ondersteuning: Met begeleiding, zingen van weekdagenliedje als geheugensteun."
2,2T2,Maanden van het jaar,M,"Twaalf maanden kennen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Kalenderkennis maanden. Leerdoel (2T2): Twaalf maanden van het jaar kennen en koppelen aan seizoenen. Niveau: M (midden groep 2). Koppel aan Nederlandse seizoenen en bekende feestdagen (Sinterklaas, Pasen, Koningsdag, vakantie). Context: jaarkalender met gebeurtenissen. Vraagtypen: In welke maand vieren we Sinterklaas?, Welke maand komt na mei?, Hoeveel maanden heeft een jaar?, In welke maand is het zomer?, Welke maanden horen bij de winter?. Format: Multiple choice met 4 opties, gebruik seizoensplaatjes en symbolen van feestdagen."
2,2T3,Vroeger en nu,E,"Verschil tussen vroeger en nu (kleding, speelgoed)","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Historisch besef verandering. Leerdoel (2T3): Verschil tussen vroeger en nu herkennen (kleding, speelgoed, vervoer). Niveau: E (eind groep 2). Gebruik duidelijke vergelijkende foto's en plaatjes van toen en nu. Context: wat is veranderd in 50-100 jaar. Vraagtypen: Welk speelgoed is van vroeger - houten knikkeren of tablet?, Hoe kleedden mensen zich vroeger anders?, Welke voorwerpen gebruikten oma en opa als kind?, Wat is oud en wat is nieuw?, Hoe reisden mensen vroeger - paard of auto?. Format: Visuele vergelijkingen met 4 antwoordopties, sorteer oud/nieuw opdrachten. Ondersteuning: Gesprek met ouders/grootouders stimuleren."
3,3T1,Tijdlijn persoonlijk,M,"Eigen tijdlijn maken (geboren, peuter, kleuter, nu)","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Persoonlijke tijdlijn. Leerdoel (3T1): Eigen tijdlijn maken en chronologisch ordenen (geboren, baby, peuter, kleuter, nu). Niveau: M (midden groep 3). Ontwikkeling van chronologisch denken. Context: persoonlijke levensgeschiedenis. Vraagtypen: Orden deze foto's van jezelf van jong naar oud, Wat kon je als baby nog niet?, Wat leerde je als peuter?, Wat gebeurde het eerst in je leven?, Op welke leeftijd kon je al lopen?. Format: Chronologische ordeningsopdrachten met tijdlijn, 4 antwoordopties bij meerkeuzevragen. Werkvorm: Zelfstandig werken met ondersteuning waar nodig."
3,3T2,Generaties,M,"Begrip generaties: kind, ouder, grootouder","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Generaties en familiebanden. Leerdoel (3T2): Begrip van generaties ontwikkelen: kind, ouder, grootouder, overgrootouder. Niveau: M (midden groep 3). Tijd en verwantschap begrijpen. Context: stamboom van een familie. Vraagtypen: Wie is ouder - jouw vader of jouw opa?, Hoeveel generaties zitten er tussen jou en je overgrootouder?, Wat was je oma toen zij een kind was?, Hoe oud was je vader toen jij geboren werd?, Welke generatie komt na de grootouders?. Format: Stamboomdiagrammen met vragen, 4 antwoordopties. Werkvorm: Zelfstandig met visuele ondersteuning."
3,3T3,Historische objecten,E,"Oude en nieuwe voorwerpen onderscheiden","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Historische objecten herkennen en dateren. Leerdoel (3T3): Oude en nieuwe voorwerpen onderscheiden en functie begrijpen. Niveau: E (eind groep 3). Introductie tot werken met bronnen. Context: museum of oude voorwerpen thuis. Vraagtypen: Welke voorwerpen zijn oud (100+ jaar)?, Waarvoor gebruikten mensen dit voorwerp vroeger?, Is dit modern of antiek?, Vergelijk een oude en nieuwe versie van hetzelfde voorwerp, Wat vertelt dit voorwerp over het verleden?. Format: Objecten sorteren en analyseren, 4 antwoordopties, visuele vergelijkingen. Werkvorm: Zelfstandig werken."
4,4T1,Tijdvakken kennismaken,M,"Kennismaken met tijdvakken Nederlandse geschiedenis","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tien tijdvakken Nederlandse geschiedenis introductie. Leerdoel (4T1): Kennismaken met het concept tijdvakken en de tien tijdvakken van de Nederlandse geschiedenis. Niveau: M (midden groep 4). Begin van historisch chronologisch denken. Context: tijdlijn van de Nederlandse geschiedenis. Vraagtypen: Wat is een tijdvak?, Hoeveel tijdvakken heeft de Nederlandse geschiedenis?, Welke tijdvakken herken je (Prehistorie, Romeinen, Middeleeuwen)?, Wat komt eerder - Romeinen of Gouden Eeuw?, In welke volgorde komen de tijdvakken?. Format: Tijdlijn met tijdvakken, matching opdrachten, 4 antwoordopties. Werkvorm: Met ondersteuning, gebruik visuele tijdlijn."
4,4T2,Prehistorie,M,"Jagers en verzamelaars, eerste mensen","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 1: Prehistorie (tot 3000 v.Chr.). Leerdoel (4T2): Kennis van jagers en verzamelaars, eerste mensen in Nederland. Niveau: M (midden groep 4). Eerste tijdvak van de 10 tijdvakken. Context: leven van eerste mensen in Nederland. Vraagtypen: Hoe leefden de eerste mensen in Nederland?, Wat aten jagers en verzamelaars?, Welke werktuigen gebruikten prehistorische mensen?, Wat zijn hunebedden en waar vind je die?, Waar woonden mensen in de prehistorie?. Format: Multiple choice met 4 opties, gebruik prehistorische afbeeldingen (grot, vuistbijl, mammoet). Werkvorm: Zelfstandig werken."
