"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"1","1G1","Getalbegrip 1-5","E","Kennis maken met getallen 1 tot en met 5, hoeveelheden herkennen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Hoeveelheden. Leerdoel (1G1): Kennis maken met getallen 1 tot en met 5, hoeveelheden herkennen zonder tellen (subitizen). Niveau: E (eind groep 1, concrete fase met veel visuele ondersteuning). Gebruik concreet materiaal en grote, duidelijke plaatjes van herkenbare voorwerpen (speelgoed, fruit, dieren). Speelse context: dierentuin, speeltuin, verjaardagsfeestje. Vraagtypen: Tel hoeveel ballen er zijn (1-5 met plaatje), Welk getal zie je op het kaartje?, Hoeveel vingers steekt het kindje op?, Welk plaatje toont 3 appels?, Kleur 4 bloemen in. Format: Grote visuele oefeningen met 2-4 antwoordopties, gebruik van dobbelsteenpatronen en vingerbeelden. Werkvorm: Met begeleiding van leerkracht, instructies voorlezen. Spelend leren met concreet materiaal (blokjes, kralen) ter ondersteuning. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"1","1G2","Tellen tot 10","E","Vooruit tellen tot 10, rijmen en liedjes met getallen","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Telrij. Leerdoel (1G2): Vooruit tellen tot 10, telrij beheersen door middel van rijmen en liedjes. Niveau: E (eind groep 1, spelend leren met veel herhaling). Gebruik telraam, vingers, rekenrek met 10 kralen. Speelse context: tellen bij liedjes (1, 2, 3, 4, hoedje van papier), traplopen, springen. Vraagtypen: Tel verder: 3, 4, ..., Welk getal komt na 6?, Tel de voorwerpen en zeg het eindgetal, Vul het ontbrekende getal in de rij: 1, 2, _, 4, Hoeveel kralen staan er op het rekenrek?. Format: Visueel met audio-ondersteuning, grote afbeeldingen met 2-4 antwoordopties. Werkvorm: Met begeleiding leerkracht, gebruik rijmpjes en beweging. Interactieve oefeningen met touchscreen of aanwijzen. Differentiatie: Voor extra ondersteuning telrij tot 5 herhalen. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2G1","Tellen tot 20","M","Vooruit en achteruit tellen tot 20","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Telrij uitbreiden. Leerdoel (2G1): Vooruit en achteruit tellen tot 20, tiental-overgang leren kennen. Niveau: M (midden groep 2, transitie van concreet naar semi-concreet). Gebruik rekenrek met 20 kralen (2 rijen van 10), getallenlijn tot 20. Concrete context: traptreden, kalender, vingers van twee kinderen. Vraagtypen: Tel verder vanaf 12: 12, 13, ..., Tel terug vanaf 18: 18, 17, ..., Vul het ontbrekende getal in: 14, 15, _, 17, Welk getal komt voor 11?, Hoeveel kralen zie je op het rekenrek?. Format: Visueel ondersteunde oefeningen met 4 antwoordopties per vraag. Werkvorm: Deels met begeleiding, geleidelijk zelfstandiger. Gebruik getallenkaarten en concrete materialen. Differentiatie: Extra ondersteuning met rekenrek, verdieping tot 30 tellen. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2G2","Hoeveelheden tot 10 herkennen","M","Hoeveelheden tot 10 in ??n oogopslag herkennen (subitizen)","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Hoeveelheden structureren. Leerdoel (2G2): Hoeveelheden tot 10 in ??n oogopslag herkennen (subitizen), gestructureerde hoeveelheden snel benoemen. Niveau: M (midden groep 2, ontwikkeling van getalbeeld). Gebruik dobbelsteenpatronen (1-6), vingerbeelden, gestructureerde telramen, MAB-eenheidjes in patronen (2+2, 3+3, 5+5). Speelse context: dobbelspellen, kaartspellen, blokkenpatronen. Vraagtypen: Hoeveel zie je zonder te tellen?, Welk plaatje toont precies 7?, Kies het dobbelsteenpatroon voor 5, Hoeveel vingers zie je opgestoken?, Welk getalbeeld past bij 8?. Format: Snelle visuele herkenning met 4 antwoordopties, gestructureerde afbeeldingen. Werkvorm: Zelfstandig werken met tijdslimiet (3-5 seconden per oefening), focus op automatiseren. Differentiatie: Start met gestructureerde patronen (dobbelsteen, vingers), later ongestructureerde hoeveelheden. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2G3","Getallen vergelijken tot 10","M","Meer, minder en evenveel tot 10","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Vergelijken en ordenen. Leerdoel (2G3): Hoeveelheden en getallen tot 10 vergelijken met begrippen meer, minder en evenveel. Niveau: M (midden groep 2, ontwikkelen van relationeel getalinzicht). Gebruik visuele vergelijkingen met concrete voorwerpen, splitsbord, getallenkaarten. Context: speelgoed verdelen, snoepjes vergelijken, dieren tellen. Vraagtypen: Waar zijn er meer appels?, Zijn er evenveel ballen als poppen?, Welke groep heeft minder kinderen?, Welk getal is groter: 7 of 4?, Op welk plaatje zie je evenveel als 6?. Format: Visuele vergelijkingsopdrachten met 4 antwoordopties. Werkvorm: Deels zelfstandig met visuele ondersteuning, hulp waar nodig. Gebruik >, < en = symbolen introduceren met plaatjes. Differentiatie: Start met duidelijke verschillen (3 vs 8), later subtielere verschillen (7 vs 8). Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2G4","Getalbegrip 1-20","E","Getallen tot 20 herkennen, benoemen en gebruiken","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Getalsysteem tot 20. Leerdoel (2G4): Getallen tot 20 herkennen, benoemen, lezen, schrijven en in praktische situaties gebruiken. Niveau: E (eind groep 2, beheersing getallenruimte tot 20). Gebruik getallenlijn tot 20, getallenkaarten, rekenrek met 20 kralen. Nederlandse context: huisnummers, bladzijden in boekjes, munten (eurocenten). Vraagtypen: Welk getal is dit (cijfer tonen)?, Schrijf het getal dat je hoort, Tel de voorwerpen tot 20, Waar staat 17 op de getallenlijn?, Welk getal komt tussen 13 en 15?. Format: Mix van meerkeuzevragen (4 opties) en invulopdrachten met cijfers. Werkvorm: Grotendeels zelfstandig werken. Getallen lezen ?n schrijven oefenen. Differentiatie: Extra ondersteuning met getallenlijn en rekenrek, verdieping met getallen tot 30. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"2","2G5","Eerste optellen en aftrekken","E","Eenvoudige optel- en aftrekopdrachten tot 10 met materiaal","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K23 (Automatiseren van cijferen en hoofdrekenen), K29 (Hoofdrekenen). Inhoudslijn: Getallen - Bewerkingen - Optellen en aftrekken tot 10. Leerdoel (2G5): Eenvoudige optel- en aftrekopdrachten tot 10 uitvoeren met concreet materiaal en visuele ondersteuning. Niveau: E (eind groep 2, introductie van bewerkingen). Gebruik rekenrek, vingers, blokjes, splitsbord voor getalbeelden. Concrete verhaalcontext: snoepjes, speelgoed, dieren, bloemen. Vraagtypen: 3+2=? (met plaatje), 5-1=? (met plaatje), Piet heeft 4 appels en krijgt er 3 bij. Hoeveel heeft hij nu?, Er zijn 7 eenden, 2 zwemmen weg. Hoeveel blijven er over?, Vul in: 6 + _ = 8. Format: Visueel ondersteunde sommen met 4 antwoordopties, mix van kale sommen en woordproblemen met plaatjes. Werkvorm: Zelfstandig met materiaal ter beschikking. Splitsingen van getallen tot 10 oefenen (5 is 3+2, is 4+1). Differentiatie: Start met optellen, later aftrekken toevoegen. Algemene instructies: gebruik SLO kerndoelen/inhoudslijn; CITO-voorbereidend vraagvorm (2-3 visuele of woordopties, 1 correct); context herkenbaar (spel, klas, thuis); noteer per item: vraag, antwoordopties, juiste antwoord, 1 zin feedback.","10","3","","","E","","kort"
"3","3G1","Tellen tot 100","M","Vooruit en achteruit tellen tot 100, met sprongen van 2, 5 en 10","Genereer 12 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Telrij en sprongsgewijs tellen. Leerdoel (3G1): Vooruit en achteruit tellen tot 100, met sprongen van 2, 5 en 10 als voorbereiding op tafels. Niveau: M (midden groep 3, uitbreiding getallenruimte). Gebruik getallenlijn tot 100, kralenrek met structuur van 10. Context: sprongen maken op speelplein, munten tellen (5 cent, 10 cent). Vraagtypen: Tel verder met stappen van 2: 2, 4, 6, ..., Tel verder met stappen van 5: 15, 20, 25, ..., Tel met stappen van 10: 30, 40, ..., Tel terug met sprongen van 10 vanaf 85, Vul de getallenreeks aan: 12, 14, _, 18. Format: 4 antwoordopties per vraag, mix van tel-verder en vul-in opdrachten. Werkvorm: Zelfstandig werken. Rekenrek en getallenlijn als hulpmiddel. Differentiatie: Voor ondersteuning eerst met sprongen van 10, verdieping met sprongen van 3 en 4. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3G2","Plaatswaarde E en T","M","Eenheden en tientallen onderscheiden in getallen tot 100","Genereer 12 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en rekenen tot 100). Inhoudslijn: Getallen - Getalbegrip - Plaatswaarde en positiesysteem. Leerdoel (3G2): Eenheden en tientallen onderscheiden in getallen tot 100, positioneel denken ontwikkelen. Niveau: M (midden groep 3, fundamenteel inzicht in tientallig stelsel). Gebruik MAB-materiaal (tientallen-staven en eenheidjes), splitskaarten (40 + 7 = 47), getallentabellen. Context: geld (euromunten van 10 en 1 cent), MAB-blokken bouwen. Vraagtypen: Hoeveel tientallen zitten er in 47?, Hoeveel eenheden in 63?, Wat is de waarde van het cijfer 5 in 52?, Tel de MAB-blokken (3 staven + 5 eenheden =?), 47 is 4 tientallen en _ eenheden. Format: Meerkeuzevragen met 4 opties, met visuele ondersteuning van MAB-materiaal. Werkvorm: Zelfstandig werken. MAB-materiaal ter beschikking voor concreet werken. Differentiatie: Extra oefeningen met concreet MAB-materiaal, verdieping met getallen tot 1000 (H-T-E). Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"3","3G3","Optellen en aftrekken tot 20","M","Optellen en aftrekken tot 20 met hoofdrekenen","Genereer 15 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K23 (Automatiseren van cijferen en hoofdrekenen), K29 (Hoofdrekenen). Inhoudslijn: Getallen - Bewerkingen - Optellen en aftrekken met overschrijding. Leerdoel (3G3): Optellen en aftrekken tot 20 met hoofdrekenen, bruggetje van 10 strategie toepassen. Niveau: M (midden groep 3, ontwikkelen rekenstrategie?n). Gebruik rekenrek, splitsbord, bruggetje van 10 visualisaties. Context: eenvoudige woordproblemen met speelgoed, snoep, kinderen. Vraagtypen: 12+5=?, 18-7=?, 9+6=? (bruggetje), Aanvullen tot 20: 13+_=20, 16-9=?, Lisa heeft 8 stickers, ze krijgt er 7 bij. Hoeveel heeft ze nu?. Format: Mix van kale sommen en woordproblemen, 4 antwoordopties per vraag. Werkvorm: Zelfstandig werken, bruggetje-strategie expliciet benoemen. Rekenrek beschikbaar als ondersteuning. Differentiatie: Extra ondersteuning met visueel bruggetje van 10, verdieping met getallen tot 30. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
