"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"1","1MM1","Lengte vergelijken","E","Langer/korter vergelijken met concreet materiaal","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Lengte vergelijken. Leerdoel (1MM1): Langer/korter/even lang vergelijken met concreet materiaal. Niveau: E (eind groep 1). Gebruik visuele ondersteuning met duidelijke afbeeldingen van alledaagse voorwerpen (potloden, stokjes, touwtjes, linten). Speelse context: speelgoed, schoolspullen, dieren. Materiaal: blokjes, stokjes, linten. Vraagtypen: Welke is langer?, Welke is korter?, Zijn deze even lang?, Welk voorwerp is het langst?. Format: grote duidelijke afbeeldingen met 3 antwoordopties (1 correct). Ondersteuning: leerkracht leest voor en begeleidt. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","vergelijken;visueel;woordenschat","speelgoed/schoolspullen/dieren","60% basis;30% verdieping;10% uitdaging","kort","bevestigend+woordenschat"
"1","1MM2","Vormen herkennen","E","Basisvormen herkennen: cirkel, vierkant, driehoek","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Vlakke figuren (basis). Leerdoel (1MM2): Cirkel, vierkant, driehoek herkennen en benoemen. Niveau: E (eind groep 1). Gebruik grote kleurrijke afbeeldingen en herkenbare voorbeelden in de klas. Context: klas, speelgoed, koekjes, verkeersborden. Materiaal: houten/plastic vormen om te voelen. Vraagtypen: Welke vorm is dit?, Vind de cirkel, Welk plaatje toont een vierkant?, Hoeveel driehoeken zie je?, Welke vorm heeft deze bal?. Format: 3 antwoordopties (1 correct), spelend leren. Ondersteuning: leerkracht begeleidt. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","herkennen;classificeren;visueel;woordenschat","klas/speelgoed/voedsel/verkeer","60% basis;30% verdieping;10% uitdaging","kort","bevestigend+woordenschat"
"2","2MM1","Meten met eigen maat","M","Meten met voeten/handen/blokjes (niet-standaard)","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Lengte (niet-standaard). Leerdoel (2MM1): Meten met eigen lichaamsmaten en voorwerpen (voeten, handen, stappen, blokjes). Niveau: M (midden groep 2). Context: klas en speelplein. Materiaal: blokjes, voetafdrukken, handafdrukken. Vraagtypen: Hoeveel voeten lang is de tafel?, Meet met je hand hoe breed het boek is, Hoeveel blokjes lang is dit potlood?, Meet de bank met stappen. Format: 3 antwoordopties (1 correct) met duidelijke plaatjes. Ondersteuning: begeleiding en visueel materiaal. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","meten;niet-standaard;schatten;visueel","klas/speelplein","70% basis;25% verdieping;5% uitdaging","kort","bevestigend+woordenschat"
"2","2MM2","Tijd: klok hele uren","M","Analoge klok lezen op hele uren","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Tijd (analoog). Leerdoel (2MM2): Analoge klok lezen op hele uren. Niveau: M (midden groep 2). Context: dagritme (school, eten, spelen). Vraagtypen: Hoe laat is het?, Welke klok toont 7 uur?, Zet de wijzers op 3 uur, Het is 5 uur: welke klok past?. Format: grote klokplaten met 3 antwoordopties (1 correct). Ondersteuning: demonstratieklok en koppeling aan dagritme. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","kloklezen;dagritme;herkennen","dagritme/school","70% basis;25% verdieping;5% uitdaging","kort","bevestigend+woordenschat"
"2","2MM3","Geld tot 10 euro","M","Munten en briefjes tot 10 euro herkennen","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Geld (basis). Leerdoel (2MM3): Munten en briefjes t/m 10 euro herkennen en eenvoudige bedragen maken/tellen. Niveau: M (midden groep 2). Context: winkeltje, snoepje kopen, speelgoed. Materiaal: speelgeld. Vraagtypen: Hoeveel is dit muntje waard?, Welk muntje is 1 euro?, Tel het geld bij elkaar, Welk briefje is 5 euro?. Format: 3 antwoordopties (1 correct) met duidelijke munt/brief-afbeeldingen. Ondersteuning: gebruik speelgeld. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","herkennen;tellen;geld;visueel","winkel/speelgoed","70% basis;25% verdieping;5% uitdaging","kort","bevestigend+woordenschat"
"2","2MM4","Vormen in de omgeving","E","Vormen herkennen in de omgeving","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Vlakke figuren in context. Leerdoel (2MM4): Vormen herkennen en benoemen in de directe omgeving. Niveau: E (eind groep 2). Context: school, huis, speeltuin, verkeersborden. Vraagtypen: Welke vorm heeft dit bord?, Welke voorwerpen zijn vierkant?, Deze deur heeft de vorm van..., Vind de cirkel in de afbeelding. Format: 3 antwoordopties (1 correct) met foto’s/tekeningen. Ondersteuning: koppel aan bekende voorwerpen. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","herkennen;context;classificeren","school/huis/speeltuin/verkeer","60% basis;30% verdieping;10% uitdaging","kort","bevestigend+woordenschat"
"2","2MM5","Tijd: digitale klok","E","Digitale klok lezen op hele uren","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Tijd (digitaal). Leerdoel (2MM5): Digitale klok lezen op hele uren (00:00–23:00). Niveau: E (eind groep 2). Context: dagindeling. Vraagtypen: Hoe laat is het op deze digitale klok?, 14:00 is hoe laat ’s middags?, Welke klok toont 08:00?, Is dit ’s morgens of ’s avonds?. Format: digitale tijdweergave met 3 antwoordopties (1 correct). Ondersteuning: koppel aan dagritme. Noteer per item: vraag, opties, juiste antwoord, 1 zin feedback.","10","3","kloklezen;dagritme;digitaal","dagritme","60% basis;30% verdieping;10% uitdaging","kort","bevestigend+woordenschat"
"3","3MM1","Meten met liniaal (cm)","M","Meten met liniaal in hele centimeters","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Lengte (standaard). Leerdoel (3MM1): Meten met liniaal in hele centimeters (start bij 0). Niveau: M (midden groep 3). Context: schoolspullen en klasvoorwerpen. Vraagtypen: Hoe lang is deze lijn?, Meet dit potlood, Hoeveel cm is deze streep?, Waar moet je beginnen met meten?. Format: 4 antwoordopties (1 correct), hele centimeters. Scaffolding: benoem ‘begin bij 0’. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","meten;start-bij-0;aflezen;visueel","schoolspullen/klas","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"3","3MM2","Tijd: halve uren","M","Klok lezen op hele en halve uren","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Tijd (analoog). Leerdoel (3MM2): Analoge klok lezen op hele en halve uren. Niveau: M (midden groep 3). Context: schooldag en afspraken. Vraagtypen: Hoe laat is het (half vier)?, Zet de wijzers op half acht, Welke klok toont half 6?, ‘Half drie’ betekent: half naar welk uur?. Format: 4 antwoordopties (1 correct) met duidelijke klokplaten. Scaffolding: ‘half is naar het volgende uur’. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","kloklezen;halve-uren;misconceptie-half","dagritme/afspraken","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"3","3MM3","Geld: rekenen tot 20 euro","M","Rekenen met bedragen tot 20 euro, wisselgeld","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Geld. Leerdoel (3MM3): Optellen/aftrekken met geld t/m 20 euro en eenvoudig wisselgeld (hele euro’s, eventueel 0,50 als uitdaging). Niveau: M (midden groep 3). Context: winkeltje met realistische prijzen (voorkeur hele euro’s). Vraagtypen: Tel munten/biljetten bij elkaar, Wat kost het samen?, Je betaalt 10 euro, het kost 8 euro: wisselgeld?, Betaal 15 euro met zo min mogelijk geld. Format: 4 antwoordopties (1 correct). Scaffolding: getallenlijn/rekenstrategie. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","geld;optellen;aftrekken;wisselgeld","winkel","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
