Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
1,1VB1,Patronen herkennen,E,"Eenvoudige patronen herkennen en voortzetten (kleuren, vormen)","Genereer 10 oefeningen voor Groep 1 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Patronen - Visuele patronen. Leerdoel (1VB1): Eenvoudige patronen herkennen en voortzetten (kleuren, vormen). Niveau: E (eind groep 1). Gebruik concreet materiaal en grote visuele ondersteuning (kraaltjes, blokjes, gekleurde vormen). Speelse context: kralenketting maken, blokkentrein, stempelpatronen in de knutselhoek. Vraagtypen: Welke kraal komt hierna in rood-blauw-rood-blauw-?, Welke vorm past niet in de rij cirkel-vierkant-cirkel-vierkant-cirkel-driehoek?, Zet het patroon voort met 2 elementen. Format: Visueel met grote duidelijke afbeeldingen, 2-3 antwoordopties met plaatjes. Ondersteuning: Met begeleiding van leerkracht, instructies worden voorgelezen, spelend leren."
2,2VB1,Rijpatronen,M,"Patronen met objecten maken en voortzetten","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Patronen - Rijpatronen met objecten. Leerdoel (2VB1): Patronen met objecten maken en voortzetten. Niveau: M (midden groep 2). Gebruik concreet materiaal (blokjes, kraaltjes, figuurtjes). Context: rijpatronen in de speelhoek, patronen met speelgoed, kralenketting rijgen. Vraagtypen: Zet het patroon voort met 3 elementen (auto-trein-boot-auto-trein-?), Welk patroon zie je (AB, ABB, ABC), Maak het patroon af met 2 ontbrekende objecten. Format: Visuele rijpatronen met herkenbare objecten, 3-4 antwoordopties met plaatjes. Ondersteuning: Met hulp waar nodig, speels en concreet."
2,2VB2,Telpatronen,M,"Telpatronen herkennen (2, 4, 6, 8...)","Genereer 10 oefeningen voor Groep 2 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Patronen - Telpatronen. Leerdoel (2VB2): Telpatronen herkennen (2, 4, 6, 8...). Niveau: M (midden groep 2). Gebruik getallenlijn en rekenrek voor visualisatie. Focus op eenvoudige telreeksen (sprongen van 1, 2, 5). Context: tellen met speelgoed, vingers, dobbelstenen. Vraagtypen: Wat komt hierna in 2-4-6-?, Tel door in sprongen van 2 vanaf 0, Welk getal hoort niet in de rij 5-10-15-18-20?, Vul het ontbrekende getal in: 1-2-?-4-5. Format: Getallenreeksen met visuele ondersteuning (stippen, blokjes), 4 antwoordopties. Ondersteuning: Met getallenlijn als hulpmiddel beschikbaar."
2,2VB3,Sorteren en ordenen,E,"Objecten sorteren op kleur, grootte, vorm","Genereer 10 oefeningen voor Groep 2 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Ordenen - Sorteren op kenmerken. Leerdoel (2VB3): Objecten sorteren op kleur, grootte, vorm. Niveau: E (eind groep 2). Gebruik concreet materiaal (blokken, figuurtjes, plaatjes). Context: opruimen in de klas, speelgoed sorteren, groepjes maken. Vraagtypen: Sorteer deze beren van klein naar groot (5 beren), Welke 3 objecten horen bij elkaar (kleur of vorm), Groepeer de vormen: welke zijn cirkels?, Zet de voorwerpen op volgorde van lengte. Format: Visuele sorteeropdrachten met grote duidelijke afbeeldingen, slepen of aanwijzen, 3-4 antwoordopties. Ondersteuning: Spelend leren, met materiaal werken."
3,3VB1,Getalpatronen,M,"Getalpatronen ontdekken en voortzetten (sprongen van 5, 10)","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Patronen - Getalpatronen. Leerdoel (3VB1): Getalpatronen ontdekken en voortzetten (sprongen van 5, 10). Niveau: M (midden groep 3). Gebruik getallenlijn en rekenrek als visuele ondersteuning. Context: tellen van snoepjes in zakjes, munten verzamelen (5 cent, 10 cent). Vraagtypen: Vul de reeks aan 5-10-15-?-25, Wat is het patroon in 10-20-30-40?, Tel verder in sprongen van 5 vanaf 15, Welk getal hoort hier: 30-40-?-60. Format: Getallenreeksen met invulvakjes, 4 antwoordopties. Ondersteuning: Met getallenlijn beschikbaar, hulp waar nodig."
3,3VB2,Plus en min patronen,M,"Ontdekken wat er gebeurt bij herhaald optellen/aftrekken","Genereer 10 oefeningen voor Groep 3 (midden schooljaar). Kerndoel: K28 en K29 (Inzicht in getalsysteem en hoofdrekenen). Inhoudslijn: Verbanden - Patronen - Rekenpatronen. Leerdoel (3VB2): Ontdekken wat er gebeurt bij herhaald optellen/aftrekken. Niveau: M (midden groep 3). Gebruik rekenrek voor visualisatie. Context: traplopen (steeds 2 treden omhoog), snoepjes verdelen, geld sparen. Vraagtypen: 3+2=5, 5+2=7, 7+2=?, wat is de volgende som, Ontdek de regel: steeds +5, Wat gebeurt er bij 20-3=17, 17-3=14, 14-3=?, Vul aan: 4+3=7, 7+3=10, 10+3=?. Format: Rekenpatronen met 4 antwoordopties, visuele ondersteuning met sprongen op getallenlijn. Ondersteuning: Ontdekken en redeneren, hulp bij benoemen patroon."
3,3VB3,Eenvoudige tabellen,E,"Gegevens in eenvoudige tabellen aflezen","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Tabellen - Gegevens aflezen. Leerdoel (3VB3): Gegevens in eenvoudige tabellen aflezen. Niveau: E (eind groep 3). Context: weertabel van de week, fruitverkoop in de klas, aantal kinderen per dag aanwezig. Vraagtypen: Hoeveel appels zijn er op dinsdag verkocht?, Welke dag had het meeste fruit?, Lees de waarde af in rij 2 kolom 3, Hoeveel meer op woensdag dan op maandag? Format: Eenvoudige tabellen met 2-3 kolommen en 3-5 rijen, duidelijke koppen, 4 antwoordopties per vraag. Zelfstandig werken."
3,3VB4,Pictogrammen,E,"Informatie uit pictogrammen halen","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Grafieken - Pictogrammen. Leerdoel (3VB4): Informatie uit pictogrammen halen. Niveau: E (eind groep 3). Gebruik pictogrammen met duidelijke symbolen (elk symbool = 1 eenheid). Context: lievelingsdieren in de klas, favoriete fruit, sportactiviteiten, vervoer naar school. Vraagtypen: Hoeveel kinderen houden van appels? (tel de appelplaatjes), Welk fruit is het populairst?, Hoeveel meer kinderen kiezen honden dan katten?, Vergelijk: zijn er meer fietsers of wandelaars? Format: Pictogrammen met 3-5 categorieën, elk symbool staat voor 1 kind/object, 4 antwoordopties. Zelfstandig werken."
4,4VB1,Keer en deel patronen,M,"Patronen in tafels ontdekken","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K23 en K28 (Automatiseren en inzicht in verbanden). Inhoudslijn: Verbanden - Patronen - Tafelpatronen. Leerdoel (4VB1): Patronen in tafels ontdekken. Niveau: M (midden groep 4). Gebruik tafelkaarten en getallenlijn. Context: sprongen tellen (3 meter per keer), geld verzamelen (2 euro per week), verpakkingen (6 per doos). Vraagtypen: Vul tafel van 5 aan (5-10-15-?-25-30), Wat zie je in tafel van 2 (alle uitkomsten zijn even), Welk getal hoort in de tafel van 3: 3-6-9-?-15, Herken het patroon: 4-8-12-16-?, Welke tafel zie je: 7-14-21-28? Format: Tafelpatronen met 4 antwoordopties, visuele ondersteuning met sprongen. Zelfstandig werken met tafelkaart als hulp."
4,4VB2,Tabellen maken,M,"Eenvoudige tabellen zelf maken en invullen","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Tabellen - Tabellen construeren. Leerdoel (4VB2): Eenvoudige tabellen zelf maken en invullen. Niveau: M (midden groep 4). Context: weersgegevens van de week bijhouden, klassentellingen, schoolbibliotheek uitleenregistratie, sportresultaten. Vraagtypen: Vul de tabel in met deze gegevens over het weer, Maak een tabel met 3 kolommen voor deze informatie, Organiseer de fruitverkoop in een tabel (dag, appels, peren), Teken zelf een tabel met koppen voor deze gegevens. Format: Lege tabellen invullen of vanaf nul maken, 3-4 kolommen, 4-6 rijen. Zelfstandig werken, duidelijke instructies."
